district,cycle,real_data,territorial,total_amount,tran_count,total_amount_without_LTS1,tran_count_without_LTS1,total_amount_no_primary,tran_count_no_primary,total_amount_no_primary_without_LTS1,tran_count_no_primary_without_LTS1,total_amount_primary,tran_count_primary,total_amount_primary_without_LTS1,tran_count_primary_without_LTS1,total_amount_gen,tran_count_gen,total_amount_gen_without_LTS1,tran_count_gen_without_LTS1,total_amount_special,tran_count_special,total_amount_special_without_LTS1,tran_count_special_without_LTS1,total_amount_dem_gen,tran_count_dem_gen,total_amount_dem_gen_without_LTS1,tran_count_dem_gen_without_LTS1,total_amount_dem_primary,tran_count_dem_primary,total_amount_dem_primary_without_LTS1,tran_count_dem_primary_without_LTS1,total_amount_dem_special,tran_count_dem_special,total_amount_dem_special_without_LTS1,tran_count_dem_special_without_LTS1,total_amount_rep_gen,tran_count_rep_gen,total_amount_rep_gen_without_LTS1,tran_count_rep_gen_without_LTS1,total_amount_rep_primary,tran_count_rep_primary,total_amount_rep_primary_without_LTS1,tran_count_rep_primary_without_LTS1,total_amount_rep_special,tran_count_rep_special,total_amount_rep_special_without_LTS1,tran_count_rep_special_without_LTS1
AK01,2004,1.0,0,2611097.73,2761.0,2611097.73,2761.0,603250.73,579.0,603250.73,579.0,2007847.0,2182.0,2007847.0,2182.0,538644.0,449.0,538644.0,449.0,0.0,0.0,0.0,0.0,13500.0,10.0,13500.0,10.0,25000.0,22.0,25000.0,22.0,0.0,0.0,0.0,0.0,525144.0,439.0,525144.0,439.0,1982847.0,2160.0,1982847.0,2160.0,0.0,0.0,0.0,0.0
AL01,1980,1.0,0,31436.0,93.0,31436.0,93.0,16945.0,50.0,16945.0,50.0,14491.0,43.0,14491.0,43.0,16545.0,35.0,16545.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16545.0,35.0,16545.0,35.0,14491.0,43.0,14491.0,43.0,0.0,0.0,0.0,0.0
AL01,1982,1.0,0,100547.0,168.0,100547.0,168.0,35077.0,66.0,35077.0,66.0,65470.0,102.0,65470.0,102.0,35077.0,66.0,35077.0,66.0,0.0,0.0,0.0,0.0,3544.0,6.0,3544.0,6.0,3350.0,5.0,3350.0,5.0,0.0,0.0,0.0,0.0,31533.0,60.0,31533.0,60.0,62120.0,97.0,62120.0,97.0,0.0,0.0,0.0,0.0
AL01,1984,1.0,0,819577.0,1112.0,819577.0,1112.0,380281.0,544.0,380281.0,544.0,439296.0,568.0,439296.0,568.0,379781.0,543.0,379781.0,543.0,0.0,0.0,0.0,0.0,153410.0,192.0,153410.0,192.0,208661.0,273.0,208661.0,273.0,0.0,0.0,0.0,0.0,226371.0,351.0,226371.0,351.0,230635.0,295.0,230635.0,295.0,0.0,0.0,0.0,0.0
AL01,1986,1.0,0,208045.0,423.0,208045.0,423.0,48055.0,112.0,48055.0,112.0,159990.0,311.0,159990.0,311.0,43555.0,107.0,43555.0,107.0,4500.0,5.0,4500.0,5.0,5400.0,7.0,5400.0,7.0,3500.0,5.0,3500.0,5.0,4500.0,5.0,4500.0,5.0,38155.0,100.0,38155.0,100.0,156490.0,306.0,156490.0,306.0,0.0,0.0,0.0,0.0
AL01,1988,1.0,0,161028.0,274.0,161028.0,274.0,74178.0,110.0,74178.0,110.0,86850.0,164.0,86850.0,164.0,73678.0,109.0,73678.0,109.0,0.0,0.0,0.0,0.0,20428.0,31.0,20428.0,31.0,4000.0,7.0,4000.0,7.0,0.0,0.0,0.0,0.0,53250.0,78.0,53250.0,78.0,82850.0,157.0,82850.0,157.0,0.0,0.0,0.0,0.0
AL01,1990,1.0,0,267970.0,542.0,267970.0,542.0,73162.0,132.0,73162.0,132.0,194808.0,410.0,194808.0,410.0,73162.0,132.0,73162.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73162.0,132.0,73162.0,132.0,194808.0,410.0,194808.0,410.0,0.0,0.0,0.0,0.0
AL01,1992,1.0,0,355745.0,637.0,355745.0,637.0,155327.0,275.0,155327.0,275.0,200418.0,362.0,200418.0,362.0,155327.0,275.0,155327.0,275.0,0.0,0.0,0.0,0.0,500.0,1.0,500.0,1.0,1000.0,1.0,1000.0,1.0,0.0,0.0,0.0,0.0,154827.0,274.0,154827.0,274.0,199418.0,361.0,199418.0,361.0,0.0,0.0,0.0,0.0
AL01,1994,1.0,0,283265.0,420.0,283265.0,420.0,142140.0,174.0,142140.0,174.0,141125.0,246.0,141125.0,246.0,137440.0,164.0,137440.0,164.0,0.0,0.0,0.0,0.0,50574.0,30.0,50574.0,30.0,7000.0,7.0,7000.0,7.0,0.0,0.0,0.0,0.0,86866.0,134.0,86866.0,134.0,134125.0,239.0,134125.0,239.0,0.0,0.0,0.0,0.0
AL01,1996,1.0,0,407379.0,595.0,407379.0,595.0,199490.0,280.0,199490.0,280.0,207889.0,315.0,207889.0,315.0,199490.0,280.0,199490.0,280.0,0.0,0.0,0.0,0.0,42879.0,45.0,42879.0,45.0,38122.0,30.0,38122.0,30.0,0.0,0.0,0.0,0.0,156611.0,235.0,156611.0,235.0,169767.0,285.0,169767.0,285.0,0.0,0.0,0.0,0.0
