district,cycle,total_amount_ind,tran_count_ind,total_amount_without_LTS1_ind,tran_count_without_LTS1_ind,total_amount_no_primary_ind,tran_count_no_primary_ind,total_amount_no_primary_without_LTS1_ind,tran_count_no_primary_without_LTS1_ind,total_amount_primary_ind,tran_count_primary_ind,total_amount_primary_without_LTS1_ind,tran_count_primary_without_LTS1_ind,total_amount_gen_ind,tran_count_gen_ind,total_amount_gen_without_LTS1_ind,tran_count_gen_without_LTS1_ind,total_amount_special_ind,tran_count_special_ind,total_amount_special_without_LTS1_ind,tran_count_special_without_LTS1_ind,total_amount_dem_gen_ind,tran_count_dem_gen_ind,total_amount_dem_gen_without_LTS1_ind,tran_count_dem_gen_without_LTS1_ind,total_amount_dem_primary_ind,tran_count_dem_primary_ind,total_amount_dem_primary_without_LTS1_ind,tran_count_dem_primary_without_LTS1_ind,total_amount_dem_special_ind,tran_count_dem_special_ind,total_amount_dem_special_without_LTS1_ind,tran_count_dem_special_without_LTS1_ind,total_amount_rep_gen_ind,tran_count_rep_gen_ind,total_amount_rep_gen_without_LTS1_ind,tran_count_rep_gen_without_LTS1_ind,total_amount_rep_primary_ind,tran_count_rep_primary_ind,total_amount_rep_primary_without_LTS1_ind,tran_count_rep_primary_without_LTS1_ind,total_amount_rep_special_ind,tran_count_rep_special_ind,total_amount_rep_special_without_LTS1_ind,tran_count_rep_special_without_LTS1_ind,total_amount_smallind,tran_count_smallind,total_amount_without_LTS1_smallind,tran_count_without_LTS1_smallind,total_amount_no_primary_smallind,tran_count_no_primary_smallind,total_amount_no_primary_without_LTS1_smallind,tran_count_no_primary_without_LTS1_smallind,total_amount_primary_smallind,tran_count_primary_smallind,total_amount_primary_without_LTS1_smallind,tran_count_primary_without_LTS1_smallind,total_amount_gen_smallind,tran_count_gen_smallind,total_amount_gen_without_LTS1_smallind,tran_count_gen_without_LTS1_smallind,total_amount_special_smallind,tran_count_special_smallind,total_amount_special_without_LTS1_smallind,tran_count_special_without_LTS1_smallind,total_amount_dem_gen_smallind,tran_count_dem_gen_smallind,total_amount_dem_gen_without_LTS1_smallind,tran_count_dem_gen_without_LTS1_smallind,total_amount_dem_primary_smallind,tran_count_dem_primary_smallind,total_amount_dem_primary_without_LTS1_smallind,tran_count_dem_primary_without_LTS1_smallind,total_amount_dem_special_smallind,tran_count_dem_special_smallind,total_amount_dem_special_without_LTS1_smallind,tran_count_dem_special_without_LTS1_smallind,total_amount_rep_gen_smallind,tran_count_rep_gen_smallind,total_amount_rep_gen_without_LTS1_smallind,tran_count_rep_gen_without_LTS1_smallind,total_amount_rep_primary_smallind,tran_count_rep_primary_smallind,total_amount_rep_primary_without_LTS1_smallind,tran_count_rep_primary_without_LTS1_smallind,total_amount_rep_special_smallind,tran_count_rep_special_smallind,total_amount_rep_special_without_LTS1_smallind,tran_count_rep_special_without_LTS1_smallind
AR03,1980,3150.0,5.0,3150.0,5.0,1000.0,1.0,1000.0,1.0,2150.0,4.0,2150.0,4.0,1000.0,1.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,1000.0,1.0,2150.0,4.0,2150.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR04,1980,33990.0,98.0,33990.0,98.0,33670.0,96.0,33670.0,96.0,320.0,2.0,320.0,2.0,9400.0,21.0,9400.0,21.0,0.0,0.0,0.0,0.0,9400.0,21.0,9400.0,21.0,320.0,2.0,320.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,8.0,1090.0,8.0,970.0,7.0,970.0,7.0,120.0,1.0,120.0,1.0,150.0,1.0,150.0,1.0,0.0,0.0,0.0,0.0,150.0,1.0,150.0,1.0,120.0,1.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS01,1980,6282.0,9.0,6282.0,9.0,3282.0,5.0,3282.0,5.0,3000.0,4.0,3000.0,4.0,3282.0,5.0,3282.0,5.0,0.0,0.0,0.0,0.0,2000.0,2.0,2000.0,2.0,3000.0,4.0,3000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ01,1980,42475.0,126.0,42475.0,126.0,6375.0,9.0,6375.0,9.0,36100.0,117.0,36100.0,117.0,6375.0,9.0,6375.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,4.0,1050.0,4.0,0.0,0.0,0.0,0.0,6375.0,9.0,6375.0,9.0,35050.0,113.0,35050.0,113.0,0.0,0.0,0.0,0.0,6075.0,58.0,6075.0,58.0,125.0,1.0,125.0,1.0,5950.0,57.0,5950.0,57.0,125.0,1.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1.0,125.0,1.0,5950.0,57.0,5950.0,57.0,0.0,0.0,0.0,0.0
AZ02,1980,250221.0,464.0,250221.0,464.0,89125.0,133.0,89125.0,133.0,161096.0,331.0,161096.0,331.0,87125.0,124.0,87125.0,124.0,0.0,0.0,0.0,0.0,66625.0,94.0,66625.0,94.0,116924.0,262.0,116924.0,262.0,0.0,0.0,0.0,0.0,20500.0,30.0,20500.0,30.0,44172.0,69.0,44172.0,69.0,0.0,0.0,0.0,0.0,2565.0,19.0,2565.0,19.0,1025.0,7.0,1025.0,7.0,1540.0,12.0,1540.0,12.0,125.0,1.0,125.0,1.0,0.0,0.0,0.0,0.0,125.0,1.0,125.0,1.0,1125.0,8.0,1125.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,4.0,415.0,4.0,0.0,0.0,0.0,0.0
AZ03,1980,11950.0,36.0,11950.0,36.0,200.0,1.0,200.0,1.0,11750.0,35.0,11750.0,35.0,200.0,1.0,200.0,1.0,0.0,0.0,0.0,0.0,200.0,1.0,200.0,1.0,11750.0,35.0,11750.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,14.0,400.0,14.0,0.0,0.0,0.0,0.0,400.0,14.0,400.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,14.0,400.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ04,1980,69913.0,148.0,69913.0,148.0,23675.0,33.0,23675.0,33.0,46238.0,115.0,46238.0,115.0,23675.0,33.0,23675.0,33.0,0.0,0.0,0.0,0.0,11100.0,13.0,11100.0,13.0,9700.0,16.0,9700.0,16.0,0.0,0.0,0.0,0.0,12575.0,20.0,12575.0,20.0,36538.0,99.0,36538.0,99.0,0.0,0.0,0.0,0.0,897.0,20.0,897.0,20.0,75.0,2.0,75.0,2.0,822.0,18.0,822.0,18.0,75.0,2.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,75.0,2.0,822.0,18.0,822.0,18.0,0.0,0.0,0.0,0.0
AZ05,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ06,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ07,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
