district,cycle,real_data,territorial,cfscore_mean_prim_dem,cfscore_mean_prim_rep,cfscore_prim_abs_diff,cfscore_gen_dem,cfscore_gen_rep,cfscore_gen_abs_diff,cfscore_mean_contrib,cfscore_mean_contrib_dem,cfscore_mean_contrib_rep
AL04,1992,1.0,0,,1.206,,0.196,,,0.46908270676691727,0.371104347826087,1.0950555555555554
AL04,1994,1.0,0,0.152,,,,,,0.3927699115044248,0.3927699115044248,
AL04,1996,1.0,0,0.09,1.2548,1.1647999999999998,-0.209,1.082,1.2910000000000001,0.6331682242990654,0.1631461716937355,1.1098258823529412
AL04,1998,1.0,0,0.224,-0.345,0.569,,1.117,,0.6819541463414635,0.10448184019370459,1.0716535947712418
AL04,2000,1.0,0,-0.082,,,-0.223,1.097,1.32,0.5814768166089965,0.030871111111111113,1.0641506493506494
AL04,2002,1.0,0,1.096,1.013,0.08300000000000018,,,,1.0799473684210528,,1.0799473684210528
AL04,2004,1.0,0,-0.37,1.065,1.435,-0.223,,,0.9258194945848376,-0.30110714285714285,1.0637871485943775
AL05,1980,1.0,0,-0.021,,,,,,0.09865151515151516,0.09865151515151516,
AL05,1982,1.0,0,-0.073,1.45,1.523,,,,0.7318780487804878,0.31425925925925924,1.5372857142857141
AL05,1984,1.0,0,,,,-0.176,,,0.28961764705882354,0.28961764705882354,
AL05,1986,1.0,0,-0.054,,,,,,0.23863793103448275,0.23863793103448275,
AL05,1988,1.0,0,0.059,1.301,1.242,,,,0.4910901639344262,0.2952551020408163,1.2907499999999998
AL05,1990,1.0,0,-0.013499999999999993,1.4445000000000001,1.4580000000000002,,,,0.5136614950634697,0.38794932432432433,1.14974358974359
AL05,1992,1.0,0,0.24,0.678,0.43800000000000006,,,,0.4951191489361702,0.4799866071428571,0.8032727272727272
AL05,1994,1.0,0,0.183,1.154,0.9709999999999999,,,,0.8337042253521126,0.4459744680851064,1.1814770992366412
AL05,1996,1.0,0,0.11,1.2456666666666667,1.1356666666666666,,,,0.7628706896551724,0.33821747572815536,1.1019348837209304
AL05,1998,1.0,0,0.2,1.142,0.942,,,,0.6768122380553228,0.371,1.0794155339805824
AL05,2000,1.0,0,0.351,1.423,1.072,,,,0.43394366197183104,0.43394366197183104,
AL05,2002,1.0,0,0.374,0.32899999999999996,0.04500000000000004,,,,0.4327322314049587,0.41520707070707075,1.3790909090909091
AL05,2004,1.0,0,0.462,1.4433333333333334,0.9813333333333334,,,,0.49561849710982664,0.43884923076923077,1.3741904761904762
AL06,1980,1.0,0,-0.258,1.26,1.518,,0.592,,0.8688726415094339,-0.0703529411764706,0.9507538461538461
AL06,1982,1.0,0,-0.298,1.218,1.516,,,,0.9397777777777777,0.005647058823529407,1.1446838709677418
AL06,1984,1.0,0,,1.459,,-0.248,,,0.6696234309623431,0.12112931034482759,1.1869024390243903
AL06,1986,1.0,0,-0.083,,,,,,0.2489159663865546,0.2489159663865546,
AL06,1988,1.0,0,-0.259,,,,,,0.25388,0.25388,
AL06,1990,1.0,0,,,,-0.08,,,0.2033623188405797,0.2033623188405797,
AL06,1992,1.0,0,,0.98475,,-0.194,,,0.7050117647058823,0.12594795539033457,0.9388978978978979
AL06,1994,1.0,0,-0.742,,,,1.088,,0.9987499999999999,,0.9987499999999999
AL06,1996,1.0,0,-0.564,1.093,1.657,,,,0.8716925925925926,-0.3241818181818182,0.9777782258064517
AL06,1998,1.0,0,-0.2025,1.099,1.3014999999999999,,,,0.6742771618625277,-0.2434913793103448,0.9920716417910448
AL06,2000,1.0,0,,1.068,,-0.255,,,0.9782586872586873,-0.396,0.9835852713178294
AL06,2002,1.0,0,,0.953,,,,,0.9369185667752443,,0.9369185667752443
AL06,2004,1.0,0,,1.203,,,,,0.8906567164179104,,0.8906567164179104
AL07,1980,1.0,0,0.581,,,,,,0.6117777777777778,0.6117777777777778,
AL07,1982,1.0,0,0.308,,,,,,0.6189622641509434,0.6189622641509434,
AL07,1984,1.0,0,,,,0.609,,,0.6024395604395605,0.6024395604395605,
AL07,1986,1.0,0,0.2325,1.1705,0.9380000000000001,,,,0.534405247813411,0.40769927536231887,1.056358208955224
AL07,1988,1.0,0,,,,-0.304,,,0.25340625,0.25340625,
AL07,1990,1.0,0,,1.439,,0.046,,,0.839474025974026,0.50152,1.4653148148148147
AL07,1992,1.0,0,-0.3426,1.223,1.5656,0.811,,,0.1812899786780384,0.13731639722863742,1.2275
AL07,1994,1.0,0,0.2315,,,-0.344,,,-0.12827848101265824,-0.12827848101265824,
AL07,1996,1.0,0,-0.456,1.2032500000000002,1.6592500000000001,,,,0.7703105263157896,-0.23295833333333335,1.1094436619718309
AL07,1998,1.0,0,-0.479,,,,1.192,,0.23181249999999998,0.13564285714285715,0.905
AL07,2000,1.0,0,-0.02600000000000001,1.234,1.26,,,,0.07966867469879518,-0.0006838709677419316,1.2119090909090908
AL07,2002,1.0,0,-0.08433333333333333,1.332,1.4163333333333334,,,,-0.01881448957189901,-0.01881448957189901,
AL07,2004,1.0,0,0.12,,,,,,0.10093072824156306,0.10093072824156306,
AR01,1980,1.0,0,-0.18,,,,,,0.020926829268292684,0.020926829268292684,
AR01,1982,1.0,0,-0.274,0.844,1.1179999999999999,,,,0.13837894736842107,-0.1578046875,0.7498548387096774
AR01,1984,1.0,0,,,,-0.288,,,-0.15533333333333332,-0.15533333333333332,
AR01,1986,1.0,0,0.07999999999999999,1.214,1.134,,,,0.06030434782608696,0.0010685714285714324,1.2121111111111111
AR01,1988,1.0,0,0.878,,,-0.385,,,-0.04024324324324324,-0.04024324324324324,
AR01,1990,1.0,0,0.04400000000000001,1.291,1.2469999999999999,-0.632,,,0.24259336823734728,0.21729516994633274,1.2527142857142857
AR01,1992,1.0,0,-0.058000000000000024,1.279,1.337,,,,0.049676532769556025,-0.039950113378684815,1.28484375
AR01,1994,1.0,0,0.39849999999999997,1.039,0.6405,,1.283,,0.4511684782608696,-0.0032893401015228444,0.9747251461988304
AR01,1996,1.0,0,-0.183,0.987,1.17,,,,0.30626,0.01130421216848674,0.9181262135922331
AR01,1998,1.0,0,-0.026,,,,,,0.07204526748971193,0.07204526748971193,
AR01,2000,1.0,0,-0.008,1.122,1.1300000000000001,,,,0.3233704142011834,0.05187358184764992,1.0580789473684211
AR01,2002,1.0,0,-0.055,0.707,0.762,,,,0.1034949494949495,0.06813049450549451,0.505765625
AR01,2004,1.0,0,-0.046,1.47,1.516,,,,0.10488555347091934,0.08274809160305344,1.3937777777777778
AR02,1980,1.0,0,-0.321,,,-0.402,,,0.67025,0.19361111111111112,0.6950462427745664
AR02,1982,1.0,0,-0.584,0.844,1.428,,,,0.5555,-0.5504,0.7461724137931034
AR02,1984,1.0,0,-0.20380000000000004,1.06,1.2638,,,,0.3450414312617702,0.15015347721822542,1.057921052631579
AR02,1986,1.0,0,0.38250000000000006,0.8680000000000001,0.48550000000000004,0.445,,,0.44602879581151833,0.4295256797583082,0.5531372549019608
AR02,1988,1.0,0,0.6785,,,,,,0.3773160173160173,0.3773160173160173,
